feature,importance
card_WW_025,0.0005092396633185657
card_VAC_959,0.0005070094501923568
card_TSC_052,0.0004919337349137327
card_TIME_039,0.0004907104597378504
card_CORE_REV_946,0.0004871315757450355
card_WON_351,0.0004613556006024854
card_GDB_142,0.00045253282511288455
card_VAC_304,0.00043455613245043723
card_ETC_425,0.0004316253026810968
card_CORE_CS2_146,0.0004265089407121727
card_WW_0700,0.0004083009265854696
card_CORE_TOY_100,0.00038666131409039324
card_VAC_532,0.00036984911721274456
card_SC_401,0.0003612384770694443
card_GDB_310,0.00035393970805465603
card_TOY_520,0.00035261552673221527
card_CORE_EX1_012,0.00034351017288052933
card_CORE_EX1_586,0.00034030023399025684
card_CORE_EX1_049,0.00033124028284852385
card_TOY_330,0.00033050289904535285
card_CORE_SW_066,0.0003221028766759705
card_TSC_908,0.00030501178610656883
card_EDR_260,0.00029468810763362796
num_heroes,0.00028233646875394603
card_BAR_854,0.0002678555378485552
card_VAC_442,0.00026560965716388736
card_TSC_069,0.000261616442901147
card_WORK_042,0.0002604422230890453
card_EX1_029,0.00025034163297518334
card_SC_410,0.00025017923949343827
class_name_DEATHKNIGHT,0.00024216311004801285
card_CORE_REV_308,0.00023759175765110746
card_TLC_252,0.00023460713103241564
card_EDR_888,0.00023282135674487046
card_CORE_BT_351,0.00021914444376958656
card_CORE_DMF_511,0.00021171867801096975
card_FP1_002,0.0002094034626131653
card_TIME_024,0.00020446165192558916
card_EDR_844,0.0002011405133196021
card_RLK_867,0.00019828160129811218
card_FP1_004,0.00018149159154088834
card_TOY_518,0.00018014324792798986
card_SC_754,0.0001786325344661528
class_name_SHAMAN,0.0001710749714567833
card_CFM_637,0.00015051191440882536
class_name_MAGE,0.00015017336075971683
card_YOG_516,0.00013836635662746205
card_GDB_435,0.00013770014638348515
card_TSC_032,0.00012600799730383004
class_name_PRIEST,0.00012498234177135258
card_CORE_LOEA10_3,0.0001210062337035674
card_VAC_955,0.00011670459179178149
card_CORE_REV_238,0.00011430704486554806
card_ETC_080,0.00010830448761999583
card_EDR_889,9.993398447277489e-05
card_TIME_056,9.911099518938484e-05
card_CORE_EX1_059,9.597761926287182e-05
class_name_WARRIOR,9.238614968078681e-05
card_VAC_321,8.195581673063324e-05
card_TIME_712,8.101214921217037e-05
card_TOY_960,7.404446468770966e-05
card_CORE_LOE_077,7.253911160152002e-05
card_SC_400,7.213898388279494e-05
card_GDB_468,6.204083912046689e-05
card_TSC_034,6.158189515745892e-05
card_WW_435,5.7492948211544884e-05
card_WON_113,5.6819871230768335e-05
card_TTN_860,5.4366769198028556e-05
